# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 7.000000e-01
# Aref        : 1.820000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
274           	1.543308e-03	5.468827e-02	1.741088e-03	2.413852e-03	-6.727639e-04
275           	1.543331e-03	5.468760e-02	1.741301e-03	2.413981e-03	-6.726800e-04
276           	1.542559e-03	5.468881e-02	1.740871e-03	2.412994e-03	-6.721232e-04
277           	1.542001e-03	5.468393e-02	1.740046e-03	2.412024e-03	-6.719780e-04
278           	1.542417e-03	5.469039e-02	1.740484e-03	2.412658e-03	-6.721747e-04
279           	1.542840e-03	5.468436e-02	1.740637e-03	2.413159e-03	-6.725218e-04
280           	1.542565e-03	5.468872e-02	1.740345e-03	2.412738e-03	-6.723927e-04
281           	1.541716e-03	5.468544e-02	1.740263e-03	2.411848e-03	-6.715850e-04
282           	1.541601e-03	5.468900e-02	1.739951e-03	2.411577e-03	-6.716259e-04
283           	1.542235e-03	5.468613e-02	1.739652e-03	2.412061e-03	-6.724085e-04
284           	1.541336e-03	5.469111e-02	1.739583e-03	2.411128e-03	-6.715447e-04
285           	1.542496e-03	5.468563e-02	1.740335e-03	2.412663e-03	-6.723284e-04
286           	1.541087e-03	5.469099e-02	1.739785e-03	2.410980e-03	-6.711947e-04
287           	1.542174e-03	5.468810e-02	1.740094e-03	2.412221e-03	-6.721272e-04
288           	1.541681e-03	5.468808e-02	1.740292e-03	2.411828e-03	-6.715352e-04
289           	1.541603e-03	5.468865e-02	1.739754e-03	2.411481e-03	-6.717262e-04
290           	1.541742e-03	5.468918e-02	1.739690e-03	2.411587e-03	-6.718970e-04
291           	1.542728e-03	5.468656e-02	1.740859e-03	2.413157e-03	-6.722979e-04
